year,Tm,Attendance,Attend/G,organization
2002,Detroit Lions,994267,62142,nfl
2002,Green Bay Packers,1046418,65401,nfl
2002,Houston Texans,1061722,66358,nfl
2002,Indianapolis Colts,1004762,62798,nfl
2002,Jacksonville Jaguars,975226,60952,nfl
2002,Kansas City Chiefs,1166177,72886,nfl
2002,Miami Dolphins,1144504,71532,nfl
2002,Minnesota Vikings,1045728,65358,nfl
2002,New England Patriots,1096069,68504,nfl
2002,New Orleans Saints,1068183,66761,nfl
2002,New York Giants,1123668,70229,nfl
2002,New York Jets,1145070,71567,nfl
2002,Oakland Raiders,1042142,65134,nfl
2002,Philadelphia Eagles,1066147,66634,nfl
2002,Pittsburgh Steelers,1023448,63966,nfl
2002,San Diego Chargers,992665,62042,nfl
2002,San Francisco 49ers,1058751,66172,nfl
2002,Seattle Seahawks,984773,61548,nfl
2002,St. Louis Rams,1073461,67091,nfl
2002,Tampa Bay Buccaneers,1044920,65308,nfl
2002,Tennessee Titans,1050989,65687,nfl
2002,Washington Redskins,1182596,73912,nfl
2001,Arizona Cardinals,811391,50712,nfl
2001,Atlanta Falcons,917882,57368,nfl
2001,Baltimore Ravens,1064731,66546,nfl
2001,Buffalo Bills,1005954,62872,nfl
2001,Carolina Panthers,1085651,67853,nfl
2001,Chicago Bears,1059454,66216,nfl
2001,Cincinnati Bengals,988273,61767,nfl
2001,Cleveland Browns,1089586,68099,nfl
2001,Dallas Cowboys,1056213,66013,nfl
2001,Denver Broncos,1115203,69700,nfl
2001,Detroit Lions,1093748,68359,nfl
2001,Green Bay Packers,1040215,65013,nfl
2001,Indianapolis Colts,1006986,62937,nfl
2001,Jacksonville Jaguars,987779,61736,nfl
2001,Kansas City Chiefs,1120677,70042,nfl
2001,Miami Dolphins,1119236,69952,nfl
2001,Minnesota Vikings,1045690,65356,nfl
2001,New England Patriots,977717,61107,nfl
2001,New Orleans Saints,1111335,69458,nfl
2001,New York Giants,1156600,72288,nfl
2001,New York Jets,1158872,72430,nfl
2001,Oakland Raiders,1035571,64723,nfl
2001,Philadelphia Eagles,1061162,66323,nfl
2001,Pittsburgh Steelers,1055127,65945,nfl
2001,San Diego Chargers,1005530,62846,nfl
2001,San Francisco 49ers,1061811,66363,nfl
2001,Seattle Seahawks,1034365,64648,nfl
2001,St. Louis Rams,1081519,67595,nfl
2001,Tampa Bay Buccaneers,1038298,64894,nfl
2001,Tennessee Titans,1089472,68092,nfl
2001,Washington Redskins,1137730,71108,nfl
2000,Arizona Cardinals,893926,55870,nfl
2000,Atlanta Falcons,964579,60286,nfl
2000,Baltimore Ravens,1062373,66398,nfl
2000,Buffalo Bills,1098587,68662,nfl
2000,Carolina Panthers,1095192,68450,nfl
2000,Chicago Bears,1080684,67543,nfl
2000,Cincinnati Bengals,967434,60465,nfl
2000,Cleveland Browns,1057139,66071,nfl
2000,Dallas Cowboys,1075470,67217,nfl
2000,Denver Broncos,1140030,71252,nfl
2000,Detroit Lions,1140926,71308,nfl
2000,Green Bay Packers,1049602,65600,nfl
2000,Indianapolis Colts,1008013,63001,nfl
2000,Jacksonville Jaguars,991957,61997,nfl
2000,Kansas City Chiefs,1115272,69705,nfl
2000,Miami Dolphins,1118883,69930,nfl
2000,Minnesota Vikings,1029262,64329,nfl
2000,New England Patriots,1030594,64412,nfl
2000,New Orleans Saints,980803,61300,nfl
2000,New York Giants,1135455,70966,nfl
2000,New York Jets,1145146,71572,nfl
